,date,sentiment_score,weighted_sentiment,total_likes,tweet_count
343,2014-05-25,0.8687,1610.5698,1854.0,1
344,2014-05-29,0.1798,159.93829999999997,553.0,2
345,2014-05-31,0.0,0.0,1044.0,2
346,2014-06-04,-0.5499,-160.57080000000002,292.0,1
347,2014-06-11,0.3182,12.0916,38.0,1
348,2014-06-12,0.3062,3139.7748,12501.0,4
349,2014-06-17,0.2299,262.0,3156.0,4
350,2014-06-19,0.4404,638.58,1450.0,2
351,2014-07-01,0.2023,94.6764,468.0,1
352,2014-07-10,0.1186,238.7418,1410.0,3
353,2014-07-14,0.20975000000000002,679.5218,2259.0,4
354,2014-07-19,-0.0258,-12.384,480.0,2
355,2014-07-23,0.0,0.0,466.0,1
356,2014-07-26,0.0,0.0,493.0,1
357,2014-08-03,0.37883750000000005,3747.7358000000004,9193.0,8
358,2014-08-05,0.227525,267.58130000000006,3775.0,4
359,2014-08-15,0.21539999999999998,394.50570000000005,2908.0,5
360,2014-08-19,0.0,0.0,764.0,1
361,2014-08-23,-0.28099999999999997,-917.184,4505.0,3
362,2014-08-25,0.2007,314.7231,1356.0,6
363,2014-09-01,0.101,92.617,917.0,1
364,2014-09-07,-0.13868571428571427,-1371.255,22393.0,7
365,2014-09-08,0.28595,360.8689,2185.0,2
366,2014-09-09,0.3271,1606.7152,2996.0,2
367,2014-09-10,0.0,0.0,39.0,1
368,2014-09-11,0.0,0.0,1572.0,1
369,2014-09-16,0.597075,2633.6024,3492.0,4
370,2014-09-20,0.575,254.53,548.0,2
371,2014-09-29,0.1531,59.249700000000004,387.0,1
372,2014-10-02,0.36935,1659.1202,12204.0,2
373,2014-10-09,0.0,0.0,1724.0,1
374,2014-10-11,0.0,0.0,2719.0,2
375,2014-10-16,0.0,0.0,2407.0,1
376,2014-10-17,0.0,0.0,358.0,1
377,2014-10-18,0.0,0.0,580.0,1
378,2014-10-26,0.0,0.0,3618.0,1
379,2014-10-28,0.2802,670.7447999999999,2526.0,3
380,2014-10-31,0.0,0.0,1469.0,1
381,2014-11-04,0.0,0.0,613.0,1
382,2014-11-07,0.34,171.36,504.0,1
383,2014-11-11,0.1259,1049.7268,4324.0,2
384,2014-11-18,0.0,0.0,2601.0,2
385,2014-11-19,-0.007949999999999985,-400.6031999999999,4653.0,2
386,2014-11-21,0.10115,224.9576,1583.0,2
387,2014-11-22,-0.023514285714285717,168.803,4596.0,7
388,2014-11-23,0.02936666666666667,84.634,664.0,3
389,2014-11-24,0.5093,152.2807,299.0,1
390,2014-12-08,0.6852,1623.8961,2433.0,2
391,2014-12-19,-0.16366,-653.6578999999999,3490.0,5
392,2014-12-20,0.3281,508.7254,4115.0,3
393,2014-12-25,0.5848,1184.8048,2026.0,1
394,2014-12-26,0.2282,582.5946,2291.0,3
395,2014-12-30,0.0,0.0,997.0,2
396,2014-12-31,0.4767,4603.4919,9657.0,2
397,2015-01-05,0.0,0.0,3575.0,2
398,2015-01-06,-0.074,-257.816,2269.0,4
399,2015-01-10,0.15057142857142858,2929.8362,21923.0,14
400,2015-01-11,0.7717,1035.6214,1342.0,1
401,2015-01-12,0.0,0.0,4846.0,1
402,2015-01-15,0.286425,1521.558,6332.0,4
403,2015-01-16,0.02112499999999999,616.5723999999999,14172.0,8
404,2015-01-17,0.0,0.0,65.0,1
405,2015-01-20,0.0,0.0,2684.0,1
406,2015-01-23,0.4411625,3331.7697000000003,7682.0,8
407,2015-01-26,0.1281375,1559.9298,17472.0,8
408,2015-01-28,0.34,483.14000000000004,1421.0,1
409,2015-01-29,0.0011833333333333418,81.63660000000004,10365.0,6
410,2015-01-30,0.3182,486.52779999999996,1529.0,2
411,2015-02-08,0.07651666666666666,401.9377999999999,12773.0,6
412,2015-02-10,0.08863999999999998,139.1044,3016.0,5
413,2015-02-11,0.30549166666666666,10514.649399999998,29589.0,12
414,2015-02-12,0.0,0.0,5081.0,2
415,2015-02-24,0.6369,1091.6466,1714.0,1
416,2015-02-26,0.8653,1570.5194999999999,1815.0,1
417,2015-03-02,-0.03063333333333333,-209.4684,2935.0,3
418,2015-03-07,0.0,0.0,920.0,1
419,2015-03-08,-0.296,-735.2639999999999,2484.0,2
420,2015-03-11,-0.2263,-606.7103,2681.0,2
421,2015-03-12,0.06872000000000002,758.152,32394.0,5
422,2015-03-13,0.2444,1428.2759,5390.0,4
423,2015-03-14,0.4767,585.3876,1228.0,1
424,2015-03-15,0.0,0.0,1145.0,1
425,2015-03-16,0.11905,201.1046,2993.0,2
426,2015-03-17,0.6927749999999999,3846.3102,5506.0,4
427,2015-03-18,0.6696,903.2904,1349.0,1
428,2015-03-21,0.10438,777.5085,3203.0,5
429,2015-03-22,0.5859,1038.2148,1772.0,2
430,2015-03-23,-0.0207,-41.068799999999996,4482.0,2
431,2015-03-24,-0.37714,-2721.3138,6754.0,5
432,2015-03-30,0.0,0.0,4643.0,1
433,2015-03-31,0.39386666666666664,1943.9796000000001,4940.0,3
434,2015-04-01,0.5859,981.3824999999999,1675.0,1
435,2015-04-04,-0.6369,-1385.2575,2175.0,1
436,2015-04-06,0.33549999999999996,1594.1336999999999,5860.0,6
437,2015-04-09,0.0,0.0,630.0,1
438,2015-04-11,0.20315,697.2108,3858.0,4
439,2015-04-12,0.4926,19.704,40.0,1
440,2015-04-13,-0.07768,-1240.6563999999998,6747.0,5
441,2015-04-14,0.1723,4104.0231,19081.0,4
442,2015-04-15,-0.16417142857142858,-2853.7893000000004,43082.0,7
443,2015-04-18,0.3599,-32.76509999999999,2337.0,2
444,2015-04-19,0.2819666666666667,-407.78350000000006,1617.0,3
445,2015-04-23,0.4215,56.0595,133.0,1
446,2015-04-27,0.29939999999999994,1482.4991999999997,6641.0,3
447,2015-04-29,0.4404,1890.1968000000002,4292.0,1
448,2015-04-30,0.8779,86.0342,98.0,1
449,2015-05-01,0.34735,394.8041,1374.0,2
450,2015-05-02,0.0,0.0,3110.0,1
451,2015-05-03,0.4262666666666666,4085.344,9068.0,3
452,2015-05-04,0.4927,995.254,2020.0,1
453,2015-05-05,-0.34,-837.08,2462.0,1
454,2015-05-06,0.06743333333333333,359.4871,4091.0,3
455,2015-05-12,0.1940875,-1113.3243,6401.0,8
456,2015-05-19,0.0,0.0,2061.0,2
457,2015-05-22,0.35910000000000003,572.3040000000001,1804.0,3
458,2015-05-27,0.34,657.9000000000001,1935.0,1
459,2015-06-01,0.7906,181.838,230.0,1
460,2015-06-12,0.4926,278.319,565.0,1
461,2015-06-15,0.6064,1051.0653,1715.0,2
462,2015-06-19,0.8356,1184.8808,1418.0,1
463,2015-06-23,0.4939,651.948,1320.0,1
464,2015-06-27,0.3935857142857143,1960.3414,4010.0,7
465,2015-06-28,0.07233333333333333,-2387.1867999999995,12262.0,9
